   Size(K) ModuleName                                         FileName
       128 v8system.dll                                       S:\Games\Counter-Strike 2\bin\win64\v8system.dll
      1408 v8_libplatform.dll                                 S:\Games\Counter-Strike 2\bin\win64\v8_libplatform.dll
     22420 server.dll                                         S:\Games\Counter-Strike 2\bin\win64\server.dll
     24600 client.dll                                         S:\Games\Counter-Strike 2\csgo\bin\win64\client.dll
     21644 embree3.dll                                        S:\Games\Counter-Strike 2\bin\win64\embree3.dll
        48 VCRUNTIME140_1.dll                                 C:\Windows\SYSTEM32\VCRUNTIME140_1.dll
       108 VCRUNTIME140.dll                                   C:\Windows\SYSTEM32\VCRUNTIME140.dll
       568 MSVCP140.dll                                       C:\Windows\SYSTEM32\MSVCP140.dll
        48 valve_wmf.dll                                      S:\Games\Counter-Strike 2\bin\win64\valve_wmf.dll
      1776 MFPlat.DLL                                         C:\Windows\SYSTEM32\MFPlat.DLL
      1064 MFReadWrite.dll                                    C:\Windows\SYSTEM32\MFReadWrite.dll
       208 RTWorkQ.DLL                                        C:\Windows\SYSTEM32\RTWorkQ.DLL
        60 valve_avi.dll                                      S:\Games\Counter-Strike 2\bin\win64\valve_avi.dll
       132 AVIFIL32.dll                                       C:\Windows\SYSTEM32\AVIFIL32.dll
       120 MSACM32.dll                                        C:\Windows\SYSTEM32\MSACM32.dll
       172 MSVFW32.dll                                        C:\Windows\SYSTEM32\MSVFW32.dll
       152 winmmbase.dll                                      C:\Windows\SYSTEM32\winmmbase.dll
       704 COMCTL32.dll                                       C:\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_5.82.19041.1110_none_792...
       424 libmpg123-0.dll                                    S:\Games\Counter-Strike 2\bin\win64\libmpg123-0.dll
        40 avrt.dll                                           C:\Windows\SYSTEM32\avrt.dll
        80 resourcepolicyclient.dll                           C:\Windows\SYSTEM32\resourcepolicyclient.dll
        28 shfolder.dll                                       C:\Windows\SYSTEM32\shfolder.dll
      1312 cairo.dll                                          S:\Games\Counter-Strike 2\bin\win64\cairo.dll
      1300 host.dll                                           S:\Games\Counter-Strike 2\csgo\bin\win64\host.dll
       176 scenefilecache.dll                                 S:\Games\Counter-Strike 2\bin\win64\scenefilecache.dll
      2124 matchmaking.dll                                    S:\Games\Counter-Strike 2\csgo\bin\win64\matchmaking.dll
       624 navsystem.dll                                      S:\Games\Counter-Strike 2\bin\win64\navsystem.dll
        92 NetworkExplorer.dll                                C:\Windows\system32\NetworkExplorer.dll
       116 MPR.dll                                            C:\Windows\SYSTEM32\MPR.dll
       164 p9np.dll                                           C:\Windows\System32\p9np.dll
        44 drprov.dll                                         C:\Windows\System32\drprov.dll
       400 WINSTA.dll                                         C:\Windows\System32\WINSTA.dll
       124 ntlanman.dll                                       C:\Windows\System32\ntlanman.dll
       120 davclnt.dll                                        C:\Windows\System32\davclnt.dll
        52 DAVHLPR.dll                                        C:\Windows\System32\DAVHLPR.dll
